text1,text2,label
Instalar impresora de red común,Necesito conectar una impresora compartida en la red,1
Instalar impresora de red común,¿Cómo puedo agregar una impresora que está en otra computadora?,1
Instalar impresora de red común,Quiero instalar una impresora que no está conectada directamente a mi PC,1
Instalar impresora de red común,Estoy intentando imprimir en una impresora de red pero no la encuentro,1
Instalar impresora de red común,¿Me ayudas a configurar una impresora que usan todos en la oficina?,1
Instalar impresora de red común,No sé cómo poner la impresora de la red en mi lista de impresoras,1
Instalar impresora de red común,Tengo que instalar una impresora que está conectada a otro equipo,1
Instalar impresora de red común,¿Qué pasos sigo para imprimir desde una impresora de red?,1
Instalar impresora de red común,La impresora está conectada a otro ordenador ¿cómo la uso desde aquí?,1
Instalar impresora de red común,Quiero que mi computadora reconozca la impresora de la red,1
Instalar impresora de red común,No puedo acceder al correo corporativo,0
Instalar impresora de red común,El ordenador no se conecta a la red Wi-Fi,0
Instalar impresora de red común,Tengo problemas para iniciar sesión en Windows,0
Instalar impresora de red común,El teclado no responde en mi equipo,0
Instalar impresora de red común,No se abre la aplicación de contabilidad,0
Instalar impresora de red común,Me aparece una pantalla azul al arrancar el PC,0
Instalar impresora de red común,La VPN no se conecta desde casa,0
Instalar impresora de red común,No puedo acceder a la carpeta compartida del servidor,0
Instalar impresora de red común,Se bloqueó mi cuenta de usuario,0
Instalar impresora de red común,No funciona el lector de tarjetas,0
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),Olvidé la contraseña de mi correo del trabajo ¿cómo la recupero?,1
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),No puedo acceder a mi cuenta de Gmail corporativo creo que perdí la clave,1
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),Necesito restablecer mi contraseña del correo de la empresa,1
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),¿Me ayudas a recuperar el acceso a mi cuenta de Google del trabajo?,1
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),No recuerdo mi contraseña de correo laboral ¿qué hago?,1
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),Quiero cambiar la clave de mi correo empresarial de Google,1
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),Estoy bloqueado de mi Gmail del trabajo ¿puedo restablecer la contraseña?,1
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),¿Cómo hago para volver a entrar a mi cuenta de Google Workspace si olvidé la contraseña?,1
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),Tengo problemas con la contraseña de mi correo corporativo necesito recuperarla,1
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),Perdí el acceso a mi cuenta de empresa en Gmail ¿puedes ayudarme a restaurarla?,1
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),No puedo imprimir desde la impresora de red,0
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),La VPN no se conecta en mi equipo,0
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),Me aparece una pantalla azul al iniciar el ordenador,0
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),No carga la aplicación Avalon,0
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),El lector de documentos no funciona correctamente,0
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),No puedo acceder al servidor compartido,0
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),Se perdió la conexión a Internet en esta sede,0
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),El sistema TPV no responde,0
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),No se abre la herramienta de facturación,0
Restaurar contraseña de correo corporativa (Gmail/Google Workspace),Tengo problemas con la configuración de red del PC,0
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),¿Cómo puedo saber si mi Windows está actualizado?,1
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),Quiero buscar actualizaciones en mi PC con Windows,1
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),Necesito actualizar el sistema operativo ¿me ayudas?,1
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),¿Dónde se revisa si hay actualizaciones para Windows 10?,1
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),Mi computadora con Windows 11 no se ha actualizado en un tiempo,1
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),¿Puedes ayudarme a instalar las últimas actualizaciones de Windows?,1
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),No estoy seguro si tengo la última versión de Windows instalada,1
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),Quiero forzar una actualización del sistema en mi equipo,1
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),¿Cómo reviso las actualizaciones pendientes en mi Windows?,1
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),Me gustaría comprobar si hay nuevas versiones del sistema para instalar,1
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),No puedo acceder a mi correo corporativo de Gmail,0
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),La impresora no aparece en la red,0
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),Avalon no abre desde el TPV,0
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),Tengo errores al escanear con el lector de documentos,0
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),No me conecta la VPN para acceder a los sistemas internos,0
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),Se bloqueó mi cuenta y no puedo entrar a Windows,0
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),No tengo acceso al servidor de archivos compartidos,0
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),El sistema TPV no responde al intentar cobrar,0
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),No funciona la conexión de red en la nueva sede,0
Realizar o verificar actualizaciones del sistema operativo Windows (10 u 11),El portátil no detecta la red Wi-Fi de la oficina,0
Cambiar la contraseña de su equipo Windows,Quiero cambiar la clave con la que entro a mi computadora,1
Cambiar la contraseña de su equipo Windows,¿Cómo modifico la contraseña de inicio de sesión en Windows?,1
Cambiar la contraseña de su equipo Windows,Necesito actualizar la contraseña de mi PC,1
Cambiar la contraseña de su equipo Windows,¿Dónde puedo cambiar la contraseña de mi usuario en Windows?,1
Cambiar la contraseña de su equipo Windows,Quiero poner una nueva clave para acceder a mi equipo,1
Cambiar la contraseña de su equipo Windows,¿Me ayudas a cambiar la contraseña con la que inicio sesión en mi portátil?,1
Cambiar la contraseña de su equipo Windows,Ya no quiero usar la misma contraseña para entrar a Windows ¿cómo la cambio?,1
Cambiar la contraseña de su equipo Windows,Estoy buscando la opción para cambiar mi contraseña en el sistema,1
Cambiar la contraseña de su equipo Windows,Necesito reemplazar la clave de acceso de mi cuenta en Windows,1
Cambiar la contraseña de su equipo Windows,¿Qué pasos sigo para cambiar la contraseña que uso en mi ordenador?,1
Cambiar la contraseña de su equipo Windows,No puedo imprimir desde ninguna impresora de red,0
Cambiar la contraseña de su equipo Windows,No carga la aplicación Avalon en el TPV,0
Cambiar la contraseña de su equipo Windows,Me sale un error de certificado al abrir una web,0
Cambiar la contraseña de su equipo Windows,No tengo acceso a Internet en esta sede,0
Cambiar la contraseña de su equipo Windows,La VPN no se conecta desde fuera de la oficina,0
Cambiar la contraseña de su equipo Windows,El lector de documentos no responde al escanear,0
Cambiar la contraseña de su equipo Windows,No puedo acceder a GsBase ni a Conex,0
Cambiar la contraseña de su equipo Windows,Tengo problemas con la configuración de la impresora,0
Cambiar la contraseña de su equipo Windows,Mi PC muestra pantalla azul al iniciar,0
Cambiar la contraseña de su equipo Windows,No funciona el correo en la aplicación de escritorio,0
Página web segura bloqueada,No puedo entrar a una página que sé que es segura,1
Página web segura bloqueada,Mi navegador bloquea un sitio web confiable ¿cómo lo desbloqueo?,1
Página web segura bloqueada,Me impide acceder a una web que debería funcionar,1
Página web segura bloqueada,Quiero abrir una página pero el sistema dice que es peligrosa y no lo es,1
Página web segura bloqueada,El antivirus o el navegador me están bloqueando una página segura,1
Página web segura bloqueada,¿Por qué no me deja entrar a una web si tiene certificado SSL?,1
Página web segura bloqueada,Estoy intentando abrir un sitio web confiable y no me lo permite,1
